CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
STOLEN VEHICLE,05/17/2024 05:30:00 PM,24-024700,VEHICLE THEFT - AUTO,04X,1 LAKESIDE DR,Oakland,CA,POINT (-122.261487964 37.804209989)
,07/18/2024 08:00:00 PM,24-035996,VEHICLE THEFT - AUTO,01X,40 HARRISON ST,Oakland,CA,POINT (-122.273433263 37.793368386)
STOLEN VEHICLE,06/12/2024 11:15:00 AM,24-029319,VEHICLE THEFT - AUTO,22X,2400 MONTEREY BLVD,Oakland,CA,POINT (-122.206305034 37.819522008)
ROBBERY,05/31/2024 10:30:00 PM,24-028405,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",34X,8432 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.177161994 37.75390101)
,07/17/2024 06:00:00 AM,24-034376,RECEIVE/ETC KNOWN STOLEN PROPERTY,99X,1276 148TH AVE,Oakland,CA,POINT (-122.135372005 37.706985989)
,07/17/2024 08:51:00 PM,24-035751,VEHICLE THEFT - AUTO,27X,5000 FAIRFAX AV,Oakland,CA,POINT (-122.201564561 37.777028016)
,05/19/2024 08:20:00 AM,24-907717,VANDALISM,31X,285 HEGENBERGER ROAD,Oakland,CA,POINT (-122.198703989 37.733352984)
STOLEN VEHICLE,06/27/2024 04:29:00 PM,24-032076,VEHICLE THEFT - AUTO,03X,510 FALLON ST,Oakland,CA,POINT (-122.265042779 37.795060955)
,07/18/2024 07:30:00 PM,24-035958,VEHICLE THEFT - AUTO,09X,4131 HOWE ST,Oakland,CA,POINT (-122.252814035 37.827678983)
DISORDERLY CONDUCT,06/11/2024 01:46:00 AM,24-029291,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,31X,7101 EDGEWATER DR,Oakland,CA,POINT (-122.207514343 37.746586486)
,06/25/2024 12:43:00 PM,24-031679,GRAND THEFT,19X,501 E 12TH ST,Oakland,CA,POINT (-122.254837007 37.794737014)
BURG - AUTO,07/14/2024 10:30:00 AM,24-910155,BURGLARY-AUTO,14X,699 BELLEVUE AV,Oakland,CA,POINT (-122.259308163 37.809550099)
,06/27/2024 07:03:00 AM,24-031996,VIOLATION CUSTODY DECREE,09X,193 MACARTHUR BLVD,Oakland,CA,POINT (-122.252976537 37.817381957)
,06/11/2024 03:35:00 PM,24-029039,BATTERY,34X,1831 89TH AVENUE,Oakland,CA,POINT (-122.170481744 37.752458231)
,06/07/2024 03:00:00 PM,24-029607,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
,06/10/2024 09:18:00 PM,24-028909,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,9629 E ST,Oakland,CA,POINT (-122.177743028 37.742642019)
,06/16/2024 11:24:00 PM,24-030007,ASSAULT WITH FIREARM ON PERSON,27Y,5917 BROMLEY AVE,Oakland,CA,POINT (-122.196317996 37.766637019)
,08/09/2024 11:52:00 PM,24-039834,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32Y,10335 BANCROFT AVE,Oakland,CA,POINT (-122.158325008 37.743021007)
STOLEN VEHICLE,06/28/2024 06:15:00 PM,24-032356,VEHICLE THEFT - AUTO,77X,GRAND AV & LAKEVIEW,Oakland,CA,POINT (-122.247989831 37.811370607)
DOMESTIC VIOLENCE,06/13/2024 09:17:00 AM,24-029375,INFLICT INJ/ETC ON CHILD,02Y,1667 10TH ST,Oakland,CA,POINT (-122.298314023 37.809057998)
RECOVERED O/S STOLEN,06/15/2024 01:33:00 AM,24-029690,VEHICLE THEFT - AUTO,21Y,COOLIDGE AV & FOOTHILL BLVD,Oakland,CA,POINT (-122.221300007 37.783256992)
,07/03/2024 02:50:00 PM,24-033101,VEHICLE THEFT - AUTO,34X,9000 WALNUT ST,Oakland,CA,POINT (-122.172097129 37.750606758)
,08/06/2024 01:48:00 AM,24-039047,BURGLARY-FORCIBLE ENTRY,03X,110 10TH STREET,Oakland,CA,POINT (-122.264797252 37.798442925)
OTHER,05/16/2024 02:56:00 AM,24-024065,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35X,8424 GOLF LINKS RD,Oakland,CA,POINT (-122.159964006 37.762016998)
,07/11/2024 05:09:00 AM,24-034542,BURGLARY-FORCIBLE ENTRY,25X,3840 MACARTHUR BLVD,Oakland,CA,POINT (-122.198104012 37.791359987)
,06/14/2024 07:40:00 PM,24-909099,GRAND THEFT,31Y,191 98TH AVE,Oakland,CA,POINT (-122.193521961 37.729987985)
BURG - COMMERCIAL,06/15/2024 06:44:00 AM,24-029714,VANDALISM-$400+,08X,370 29TH ST,Oakland,CA,POINT (-122.264738969 37.817985019)
STOLEN VEHICLE,05/17/2024 08:00:00 AM,24-024521,VEHICLE THEFT - AUTO,35X,8616 MACARTHUR BLVD,Oakland,CA,POINT (-122.162233993 37.758985012)
GRAND THEFT,05/25/2024 04:50:00 PM,24-025799,THEFT,01X,50 BROADWAY,Oakland,CA,POINT (-122.276854681 37.795007575)
RECOVERED O/S STOLEN,06/09/2024 09:23:00 AM,24-028474,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,26X,500 INDEPENDENT RD,Oakland,CA,POINT (-122.208119967 37.755434982)
,07/31/2024 03:57:00 AM,24-038121,BURGLARY-FORCIBLE ENTRY,31X,646 HEGENBERGER RD.,Oakland,CA,POINT (-122.195614 37.747281989)
,07/18/2024 10:53:00 AM,24-035829,VEHICLE THEFT - AUTO,31Y,10000 EDES AV,Oakland,CA,POINT (-122.181046001 37.735969018)
VANDALISM,06/22/2024 02:00:00 PM,24-031031,OWN/ETC CHOP SHOP,32X,10211 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168387986 37.74080898)
,05/24/2024 06:45:00 PM,24-908399,THEFT,14Y,700 JEAN ST,Oakland,CA,POINT (-122.246066824 37.819316456)
DOMESTIC VIOLENCE,06/01/2024 12:30:00 AM,24-027093,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30Y,79TH AV & GARFIELD AV,Oakland,CA,POINT (-122.171749967 37.763042021)
OTHER SEX OFFENSES,06/28/2024 11:11:00 PM,24-032112,SEX PENETRATION WITH FOREIGN OBJECT:VICTIM DRUGGED/ETC,03X,385 14TH ST,Oakland,CA,POINT (-122.269653731 37.803652066)
,07/01/2024 07:41:00 PM,24-032777,BATTERY,34X,2124 90TH AV,Oakland,CA,POINT (-122.166014985 37.753107998)
,07/19/2024 07:00:00 PM,24-911225,VANDALISM,13Z,6307 WOOD DRIVE,Oakland,CA,POINT (-122.216655008 37.825030008)
WEAPONS,05/31/2024 12:33:00 PM,24-026980,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,26X,1286 64TH AV,Oakland,CA,POINT (-122.198388997 37.761354995)
BURG - COMMERCIAL,07/20/2024 03:12:00 AM,24-036077,BURGLARY-FORCIBLE ENTRY,32Y,10501 FOOTHILL BLVD,Oakland,CA,POINT (-122.150351974 37.744754007)
MISDEMEANOR ASSAULT,07/12/2024 02:00:00 PM,24-034801,BATTERY,17Y,1127 E 23RD ST,Oakland,CA,POINT (-122.24027102 37.796701983)
,06/10/2024 10:00:00 PM,24-908804,THEFT,09X,100 BAYO VISTA AVE,Oakland,CA,POINT (-122.250709004 37.82234101)
,07/31/2024 07:11:00 PM,24-038335,VEHICLE THEFT - AUTO,31X,7000 COLISEUM WAY,Oakland,CA,POINT (-122.201306989 37.751257987)
,05/26/2024 03:15:00 PM,24-025986,VEHICLE THEFT - AUTO,26Y,7518 RUDSDALE ST,Oakland,CA,POINT (-122.187457989 37.756765987)
DOMESTIC VIOLENCE,07/09/2024 05:40:00 AM,24-034156,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,32X,98TH AV & B ST,Oakland,CA,POINT (-122.173881988 37.742771016)
STOLEN VEHICLE,06/15/2024 03:00:00 AM,24-029957,VEHICLE THEFT - AUTO,23X,1715 HIGH ST,Oakland,CA,POINT (-122.213077025 37.774095991)
,06/09/2024 07:46:00 AM,24-910459,THEFT,20X,1659 28TH AVE,Oakland,CA,POINT (-122.227750971 37.782591008)
,05/28/2024 08:25:00 AM,24-909452,GRAND THEFT,03Y,500 12TH,Oakland,CA,POINT (-122.273517001 37.803968004)
FELONY ASSAULT,05/21/2024 05:17:00 AM,24-025025,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,9333 CHERRY ST,Oakland,CA,POINT (-122.168556965 37.749303997)
,08/11/2024 04:26:00 PM,24-040184,VANDALISM,29X,2560 60TH AVE,Oakland,CA,POINT (-122.18973949 37.770891134)
NARCOTICS,07/24/2024 04:34:00 PM,24-036886,CARRY CONCEALED WEAPON IN VEHICLE,29X,5849 KINGSLEY CIR,Oakland,CA,POINT (-122.190234997 37.772181019)
,06/17/2024 01:54:00 PM,24-030204,GRAND THEFT,08X,460 28TH ST,Oakland,CA,POINT (-122.267027983 37.816969006)
ROBBERY,06/23/2024 06:00:00 PM,24-031240,BATTERY,15X,247 E 18TH ST,Oakland,CA,POINT (-122.253320973 37.79936198)
VANDALISM,07/23/2024 06:30:00 PM,24-036718,VANDALISM,30X,7107 LOCKWOOD ST,Oakland,CA,POINT (-122.182126009 37.763818981)
,06/15/2024 02:17:00 AM,24-910710,BURGLARY-AUTO,22Y,3248 KANSAS ST,Oakland,CA,POINT (-122.201090987 37.796505009)
,08/09/2024 01:35:00 PM,24-039757,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,29X,3400 BLOCK OF 64TH AVE PLACE,Oakland,CA,POINT (-122.178500505 37.774160928)
STOLEN VEHICLE,06/24/2024 10:00:00 PM,24-031715,VEHICLE THEFT - AUTO,13Y,200 CAPRICORN AV,Oakland,CA,POINT (-122.218516387 37.838902011)
,07/01/2024 08:00:00 PM,24-032892,VEHICLE THEFT - AUTO,11X,5918 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.270333973 37.844670987)
RECOVERED O/S STOLEN,07/21/2024 09:34:00 AM,24-036265,POSS STOLEN VEH/VES/ETC,32X,1340 102ND AV,Oakland,CA,POINT (-122.169209188 37.740677683)
MISDEMEANOR ASSAULT,06/15/2024 12:41:00 PM,24-029750,BATTERY,03Y,1200 CLAY ST,Oakland,CA,POINT (-122.27389603 37.804107018)
,05/27/2024 05:00:00 PM,24-026735,BURGLARY-AUTO,32Y,10790 MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.148495969 37.743169995)
,06/26/2024 05:00:00 AM,24-909715,GRAND THEFT,06X,1015 39TH,Oakland,CA,POINT (-122.220443437 37.772584429)
STOLEN VEHICLE,05/21/2024 08:00:00 AM,24-026273,VEHICLE THEFT - AUTO,23X,4100 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.216648235 37.773327763)
,07/13/2024 04:00:00 PM,24-035118,BATTERY,14Y,854 WALKER AV,Oakland,CA,POINT (-122.244716027 37.814899011)
,07/22/2024 05:20:00 PM,24-910853,BURGLARY-AUTO,31X,451 HEGENBERGER ROAD,Oakland,CA,POINT (-122.197289039 37.737543014)
,07/06/2024 07:18:00 AM,24-033561,BURGLARY-FORCIBLE ENTRY,10X,5417 ADELINE ST,Oakland,CA,POINT (-122.27570803 37.839003018)
,07/01/2024 05:45:00 PM,24-910589,BURGLARY-NO FORCE,16X,602 CALMAR AVE,Oakland,CA,POINT (-122.239657967 37.810700013)
,06/17/2024 11:52:00 PM,24-030230,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,32X,103RD AV & E ST,Oakland,CA,POINT (-122.17356599 37.737621007)
BURG - AUTO,07/20/2024 04:40:00 AM,24-910750,BURGLARY-AUTO,25X,4325 TOMPKINS AV,Oakland,CA,POINT (-122.187967022 37.790354997)
,06/01/2024 02:30:00 PM,24-027268,VEHICLE THEFT - AUTO,12Y,418 AVON ST,Oakland,CA,POINT (-122.258124977 37.837752019)
,07/04/2024 10:48:00 AM,24-033233,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,24Y,4139 PENNIMAN AV,Oakland,CA,POINT (-122.202002016 37.784764016)
,08/09/2024 11:36:00 AM,24-039911,VANDALISM,02X,1195 8TH ST,Oakland,CA,POINT (-122.288940643 37.805030574)
,05/31/2024 03:00:00 AM,24-026900,BATTERY,02X,1526 5TH STREET,Oakland,CA,POINT (-122.297031005 37.804708)
FELONY ASSAULT,06/22/2024 02:03:00 AM,24-030942,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,1919 25TH AV,Oakland,CA,POINT (-122.229526007 37.785434987)
,05/29/2024 05:00:00 PM,24-026648,SC STOLEN VEHICLE - AUTO,27Y,1935 SEMINARY AV,Oakland,CA,POINT (-122.19628296 37.767958007)
,08/07/2024 04:30:00 PM,24-039326,ASSAULT WITH FIREARM ON PERSON,08X,33RD ST & TELEGRAPH AV,Oakland,CA,POINT (-122.266475028 37.821640995)
,06/30/2024 03:15:00 AM,24-911270,ATTEMPT VEHICLE THEFT-AUTO,24Y,3442 SCHOOL ST,Oakland,CA,POINT (-122.205971015 37.791667016)
,07/28/2024 11:40:00 PM,24-037772,SC UNEXPLAINED DEATH,26Y,1226 60TH AV,Oakland,CA,POINT (-122.201503963 37.762531018)
VANDALISM,07/07/2024 01:24:00 PM,24-033903,BATTERY,01X,252 2ND ST,Oakland,CA,POINT (-122.271810026 37.794562)
HOMICIDE,05/20/2024 03:40:00 PM,24-024926,SC UNEXPLAINED DEATH,04X,559 16TH ST,Oakland,CA,POINT (-122.273152975 37.806586007)
DOMESTIC VIOLENCE,06/03/2024 03:35:00 PM,24-027491,CRUELTY TO CHILD WITH POSSIBLE INJURY OR DEATH,08X,3013 BROADWAY,Oakland,CA,POINT (-122.262076318 37.819138972)
PETTY THEFT,06/04/2024 12:00:00 PM,24-028106,THEFT,07X,2850 HANNAH ST,Oakland,CA,POINT (-122.286222038 37.82237898)
,08/04/2024 03:32:00 PM,24-911532,BURGLARY-AUTO,31X,451 HEGENBERGER ROAD,Oakland,CA,POINT (-122.197289039 37.737543014)
,07/23/2024 03:16:00 AM,24-036555,GRAND THEFT,28X,5100 CAMDEN ST,Oakland,CA,POINT (-122.191250968 37.780696991)
NARCOTICS,05/20/2024 01:45:00 AM,24-024816,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,30X,1925 82ND AV,Oakland,CA,POINT (-122.173628687 37.758559232)
,05/22/2024 04:00:00 AM,24-025283,VEHICLE THEFT - AUTO,27X,5459 RUTH AV,Oakland,CA,POINT (-122.195845005 37.77334602)
,07/20/2024 01:00:00 PM,24-036144,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,17X,3600 PARK BLVD,Oakland,CA,POINT (-122.232542989 37.804601005)
,06/20/2024 10:05:00 PM,24-030729,VEHICLE THEFT - AUTO,26X,AUTO PLUS -4800 E. 12TH ST,Oakland,CA,POINT (-122.21126997 37.768833999)
,06/06/2024 06:10:00 PM,24-910184,BURGLARY-AUTO,,TELEGRAPH & 41ST ST,Oakland,CA,POINT (-122.264232031 37.829952993)
,05/22/2024 08:20:00 PM,24-025369,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31X,195 HEGENBERGER RD,Oakland,CA,POINT (-122.200723021 37.731745)
,06/30/2024 09:03:00 PM,24-032601,VEHICLE THEFT - AUTO,17X,6TH AVE & E 20TH ST,Oakland,CA,POINT (-122.247477026 37.798970001)
,08/06/2024 10:48:00 AM,24-039094,SC UNEXPLAINED DEATH,24X,3589 GALINDO ST,Oakland,CA,POINT (-122.215092034 37.782994009)
DOMESTIC VIOLENCE,07/26/2024 12:59:00 AM,24-037144,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,25Y,630 CANYON OAKS DR,Oakland,CA,POINT (-122.146046023 37.773308008)
,06/03/2024 09:43:00 AM,24-027450,VEHICLE THEFT - AUTO,28X,MACARTHUR BLVD & PIERSON ST,Oakland,CA,POINT (-122.188115968 37.78318541)
BURG - RESIDENTIAL,07/01/2024 03:00:00 PM,24-032912,VEHICLE THEFT - AUTO,22Y,534 WESTFIELD WY,Oakland,CA,POINT (-122.179529966 37.797973979)
,06/15/2024 04:30:00 PM,24-910666,VANDALISM,11X,535 51ST ST,Oakland,CA,POINT (-122.26326154 37.837521659)
,06/13/2024 10:00:00 PM,24-029677,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
STOLEN VEHICLE,06/23/2024 01:00:00 AM,24-032138,SC STOLEN VEHICLE - AUTO,32X,9920 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16955067 37.743287914)
,06/01/2024 11:15:00 AM,24-909753,THEFT BY USE OF ACCESS CARD,31Y,150 HEGENBERGER ROAD,Oakland,CA,POINT (-122.198819994 37.730159018)
,06/11/2024 04:35:00 PM,24-029049,BATTERY,22Y,2909 CARMEL ST,Oakland,CA,POINT (-122.203414031 37.800999008)
VANDALISM,05/29/2024 07:00:00 PM,24-908261,VANDALISM,12X,456 43RD ST,Oakland,CA,POINT (-122.261518812 37.831781705)
,05/25/2024 01:30:00 AM,24-025758,VEHICLE THEFT - AUTO,17Y,1551 E 23RD ST,Oakland,CA,POINT (-122.237329198 37.794474609)
,07/13/2024 12:20:00 PM,24-034948,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",12Y,5479 BOYD AV,Oakland,CA,POINT (-122.252659976 37.84274801)
BURG - AUTO,05/19/2024 01:00:00 PM,24-024723,BURGLARY-AUTO,31X,449 HEGENBERGER RD,Oakland,CA,POINT (-122.197507975 37.736640995)
MISDEMEANOR ASSAULT,06/25/2024 10:30:00 AM,24-031661,BATTERY,12Y,5422 COLLEGE AV,Oakland,CA,POINT (-122.251206973 37.840730989)
BURG - AUTO,06/22/2024 03:55:00 PM,24-031051,BURGLARY-AUTO,25X,3512 MACARTHUR BLVD,Oakland,CA,POINT (-122.200110975 37.793571007)
ROBBERY,06/14/2024 10:12:00 PM,24-029667,ASSAULT WITH FIREARM ON PERSON,30X,1741 81ST AV,Oakland,CA,POINT (-122.175471029 37.758883004)
ROBBERY,05/31/2024 06:09:00 AM,24-026919,ROBBERY-FIREARM,20X,24TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.234399916 37.782549517)
DOMESTIC VIOLENCE,05/29/2024 11:30:00 PM,24-026851,ADW WITH FORCE: POSSIBLE GBI,05X,1915 LINDEN ST,Oakland,CA,POINT (-122.282875982 37.812994014)
,06/17/2024 09:35:00 AM,24-910915,BURGLARY-AUTO,13Z,6501 LONGWALK DRIVE,Oakland,CA,POINT (-122.190268022 37.823594021)
STOLEN VEHICLE,06/23/2024 11:00:00 PM,24-032262,VEHICLE THEFT - AUTO,12Y,224 ADA ST,Oakland,CA,POINT (-122.249722035 37.840053019)
,08/07/2024 08:00:00 PM,24-039384,BATTERY,18X,2128 17TH AVE,Oakland,CA,POINT (-122.237584033 37.793108997)
,06/02/2024 05:00:00 PM,24-027452,VEHICLE THEFT - AUTO,21X,1222 FRUITVALE BLVD,Oakland,CA,POINT (-122.226267159 37.77661764)
,06/14/2024 10:00:00 PM,24-909097,GRAND THEFT,14Y,491 CRESCENT ST,Oakland,CA,POINT (-122.249501004 37.81456801)
,07/20/2024 06:31:00 AM,24-036075,ATTEMPTED GRAND THEFT,14X,350 GRAND AVE,Oakland,CA,POINT (-122.255644017 37.809234982)
,08/04/2024 05:17:00 PM,24-038834,POSSESS MARIJUANA/HASHISH FOR SALE,26X,1000 BLK OF 73RD AVE,Oakland,CA,POINT (-122.191642694 37.756387338)
MISDEMEANOR ASSAULT,07/07/2024 04:20:00 AM,24-033827,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE W/PR,20X,1811 27TH AV,Oakland,CA,POINT (-122.22842102 37.784316003)
,05/18/2024 04:25:00 PM,24-908148,THEFT,,SAUSAL ST,Oakland,CA,POINT (-122.220668031 37.798749279)
VANDALISM,06/27/2024 08:15:00 AM,24-031991,BATTERY,26X,ALAMEDA AV & HIGH ST,Oakland,CA,POINT (-122.220624677 37.768013285)
ROBBERY,07/09/2024 08:42:00 PM,24-034301,CARJACKING WITH FIREARM,34X,89TH AVENUE/ HOLLY STREET,Oakland,CA,POINT (-122.242560454 37.825801025)
,08/02/2024 09:13:00 PM,24-038540,POSSESS MARIJUANA/HASHISH FOR SALE,30X,2529 PARKER AVE,Oakland,CA,POINT (-122.17284104 37.763503989)
,06/27/2024 02:45:00 PM,24-032057,BATTERY,30X,2738 HAVENSCOURT BLVD,Oakland,CA,POINT (-122.181680008 37.769232014)
,06/29/2024 02:30:00 PM,24-032387,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",08X,500 24TH ST,Oakland,CA,POINT (-122.268631848 37.813533686)
STOLEN VEHICLE,05/18/2024 09:00:00 PM,24-024769,VEHICLE THEFT - AUTO,33X,925 84TH AV,Oakland,CA,POINT (-122.185503027 37.750513548)
,07/07/2024 12:00:00 AM,24-036420,VEHICLE THEFT - AUTO,11X,5605 ADELINE ST,Oakland,CA,POINT (-122.275134959 37.84019702)
,07/21/2024 12:14:00 AM,24-036223,ROBBERY-FIREARM,20X,1310 31ST AVE,Oakland,CA,POINT (-122.226704993 37.777267996)
,05/25/2024 10:38:00 PM,24-025840,ATTEMPTED MURDER-FIREARM,31X,620 98TH AVE,Oakland,CA,POINT (-122.183047013 37.736194994)
ROBBERY,05/27/2024 01:00:00 AM,24-026698,CARJACKING WITH KNIFE,15X,3000 LAKESHORE AV,Oakland,CA,POINT (-122.247390022 37.80891098)
,07/13/2024 03:30:00 PM,24-910872,VANDALISM,12Y,494 63RD ST,Oakland,CA,POINT (-122.260560753 37.848786172)
,07/02/2024 02:27:00 PM,24-032935,CARRY CONCEALED WEAPON IN VEHICLE,32Y,108TH AVE & MACARTHUR BLVD,Oakland,CA,POINT (-122.150611981 37.741774995)
PETTY THEFT,07/06/2024 12:45:00 AM,24-033791,THEFT,32Y,2519 TRUMAN AV,Oakland,CA,POINT (-122.155155978 37.746498993)
FORCIBLE RAPE,05/23/2024 12:00:00 AM,24-025661,SC RAPE,23X,3301 E 12TH ST,Oakland,CA,POINT (-122.224756033 37.775820986)
FELONY ASSAULT,07/24/2024 01:52:00 AM,24-036758,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,14X,250 MACARTHUR BLVD,Oakland,CA,POINT (-122.252915764 37.817557028)
,05/24/2024 08:20:00 AM,24-025575,BATTERY,23X,4000 ALAMEDA AVE,Oakland,CA,POINT (-122.223908958 37.769720008)
PETTY THEFT,06/04/2024 09:00:00 AM,24-027705,THEFT,77X,1325 PULLMAN WY,Oakland,CA,POINT (-122.300431962 37.813592985)
,06/03/2024 01:10:00 PM,24-027515,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,11X,5810 SHATTUCK AVE,Oakland,CA,POINT (-122.26469597 37.843763981)
,06/13/2024 02:00:00 AM,24-910899,GRAND THEFT,10X,962 63RD ST,Oakland,CA,POINT (-122.278398034 37.847130991)
STOLEN VEHICLE,08/01/2024 09:45:00 AM,24-038313,VEHICLE THEFT - AUTO,02X,1221 3RD ST,Oakland,CA,POINT (-122.291014978 37.801035008)
MISDEMEANOR ASSAULT,06/22/2024 06:28:00 PM,24-031074,BATTERY,28X,4552 VIRGINIA AV,Oakland,CA,POINT (-122.197166999 37.782233016)
,05/19/2024 12:44:00 PM,24-908219,THEFT,12Y,424 60TH ST,Oakland,CA,POINT (-122.257570011 37.846862016)
STOLEN VEHICLE,06/25/2024 01:30:00 AM,24-031651,VEHICLE THEFT - AUTO,22X,3930 HANLY RD,Oakland,CA,POINT (-122.214162984 37.807690994)
,07/07/2024 09:13:00 PM,24-033942,VEHICLE THEFT - AUTO,23X,35TH AVE AND GRAY ST.,Oakland,CA,POINT (-122.215274005 37.785111991)
MISDEMEANOR ASSAULT,05/20/2024 12:00:00 PM,24-025162,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,33X,1320 87TH AV,Oakland,CA,POINT (-122.177364911 37.751112554)
,07/30/2024 10:00:00 PM,24-911191,BURGLARY-AUTO,,JACKSON ST,Oakland,CA,POINT (-122.268443635 37.796858445)
,07/03/2024 09:35:00 AM,24-033052,POSSESS MARIJUANA/HASHISH FOR SALE,23X,3820 SAN LEANDRO ST,Oakland,CA,POINT (-122.220770019 37.772553008)
,06/04/2024 10:00:00 AM,24-028847,VEHICLE THEFT - AUTO,30X,2006 69TH AVE,Oakland,CA,POINT (-122.183696023 37.764725987)
STOLEN VEHICLE,06/09/2024 08:00:00 PM,24-028884,VEHICLE THEFT - AUTO,17Y,2308 8TH AV,Oakland,CA,POINT (-122.242642009 37.799483015)
,06/04/2024 10:30:00 PM,24-027727,BATTERY,28X,3100 RAWSON ST,Oakland,CA,POINT (-122.19296096 37.779942997)
,07/02/2024 12:00:00 AM,24-909941,GRAND THEFT,,ALLENDALE AVE,Oakland,CA,POINT (-122.203397724 37.784158826)
,06/18/2024 09:45:00 AM,24-030276,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,23X,1817 ROSEDALE AV,Oakland,CA,POINT (-122.215510962 37.77676898)
,07/16/2024 06:00:00 PM,24-035690,VEHICLE THEFT - AUTO,17Y,1388 E. 27TH ST,Oakland,CA,POINT (-122.233744032 37.797327986)
KIDNAPPING,05/21/2024 03:00:00 AM,24-025041,ROBBERY/INHABITED DWELLING - FIREARM,23X,1215 HIGH ST,Oakland,CA,POINT (-122.216069029 37.771683008)
FELONY ASSAULT,07/09/2024 10:40:00 PM,24-034318,ASSAULT PERSON WITH A SEMIAUTOMATIC FIREARM,07X,2300 PERALTA ST,Oakland,CA,POINT (-122.28832598 37.817458006)
KIDNAPPING,05/25/2024 06:19:00 PM,24-025817,VEHICLE THEFT - AUTO,26Y,57TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.201644025 37.766116)
VANDALISM,07/18/2024 07:40:00 AM,24-911353,VANDALISM,77X,2599 EL CAMINITO ST,Oakland,CA,POINT (-122.201677972 37.816633018)
STOLEN VEHICLE,06/03/2024 02:50:00 PM,24-027504,VEHICLE THEFT - AUTO,07X,2700 MARKET ST,Oakland,CA,POINT (-122.277180916 37.818309656)
,06/13/2024 11:05:00 PM,24-908758,BURGLARY-AUTO,01X,472 WATER ST,Oakland,CA,POINT (-122.277909336 37.795085046)
,07/08/2024 06:47:00 PM,24-034119,VEHICLE THEFT - AUTO,08X,555 27TH ST,Oakland,CA,POINT (-122.269670772 37.816365149)
,06/06/2024 12:36:00 PM,24-028019,TRESPASS:OCCUPY PROPERTY W/O CONSENT,23X,1215 HIGH ST,Oakland,CA,POINT (-122.216069029 37.771683008)
,06/03/2024 05:30:00 PM,24-027726,VANDALISM [UNDER $400],02Y,728 PERALTA ST,Oakland,CA,POINT (-122.297460997 37.806485006)
,06/20/2024 06:30:00 PM,24-910044,BURGLARY-AUTO,19X,1717 EMBARCADERO,Oakland,CA,POINT (-122.245743798 37.785854734)
,06/02/2024 05:00:00 PM,24-027680,VEHICLE THEFT - AUTO,13Z,6441 GIRVIN DR.,Oakland,CA,POINT (-122.194125039 37.830372005)
VANDALISM,07/05/2024 02:30:00 AM,24-033352,VANDALISM,23X,4200 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.215050963 37.773355994)
FELONY ASSAULT,06/17/2024 02:53:00 AM,24-030022,CARRY CONCEALED WEAPON IN VEH W/PRIOR CONVICTION,31Y,9680 CORAL RD,Oakland,CA,POINT (-122.190408 37.732072984)
,06/09/2024 02:45:00 PM,24-910494,MAIL/ETC THEFT/ETC,08X,2330 WEBSTER ST,Oakland,CA,POINT (-122.264546017 37.812427021)
