CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
DOMESTIC VIOLENCE,07/05/2024 01:49:00 AM,24-033349,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,06X,600 W MACARTHUR BLVD,Oakland,CA,POINT (-122.268291722 37.827177671)
THREATS,06/23/2024 01:30:00 AM,24-031124,BATTERY,32Y,10440 MACARTHUR BLVD,Oakland,CA,POINT (-122.15284601 37.743600992)
,05/22/2024 12:00:00 AM,24-907904,GRAND THEFT,,2707 21ST AVE,Oakland,CA,POINT (-122.229877963 37.795042995)
,05/31/2024 10:50:00 AM,24-909743,ATTEMPT VEHICLE THEFT-AUTO,05X,1601 MARKET ST,Oakland,CA,POINT (-122.280436555 37.809811357)
,05/26/2024 11:05:00 PM,24-909554,THEFT,06X,814 31ST ST,Oakland,CA,POINT (-122.273907011 37.821272988)
DOMESTIC VIOLENCE,05/16/2024 03:32:00 AM,24-024070,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17X,1125 E 18TH ST,Oakland,CA,POINT (-122.245176026 37.793429982)
,06/04/2024 09:30:00 PM,24-027716,VEHICLE THEFT - AUTO,33X,9600 D ST,Oakland,CA,POINT (-122.176685986 37.743585989)
OTHER,08/04/2024 10:00:00 AM,24-038753,CONTEMPT OF COURT:DISOBEY COURT ORDER/PROCESS (AMENDED),35Y,3260 REVERE AV,Oakland,CA,POINT (-122.133903998 37.735789981)
STOLEN VEHICLE,06/06/2024 09:00:00 PM,24-028807,SC STOLEN VEHICLE - AUTO,11X,628 60TH ST,Oakland,CA,POINT (-122.266071021 37.845977013)
MISDEMEANOR ASSAULT,05/30/2024 07:10:00 AM,24-027346,VIOLATION OF PROBATION-MISD,77X,3883 TURQUOISE WY,Oakland,CA,POINT (-122.26617898 37.82785802)
,06/17/2024 01:00:00 PM,24-031798,GRAND THEFT,32Y,2386 106TH AVENUE,Oakland,CA,POINT (-122.153538019 37.742239981)
,07/02/2024 07:28:00 PM,24-032980,CARRY CONCEALED WEAPON IN VEHICLE : OCCUPANT,26Y,7800 RUDSDALE ST,Oakland,CA,POINT (-122.186546697 37.755708374)
,06/01/2024 03:00:00 PM,24-027376,THEFT,31X,9235 SAN LEANDRO ST.,Oakland,CA,POINT (-122.184507978 37.741778012)
ROBBERY,05/28/2024 09:25:00 AM,24-026268,ROBBERY-KNIFE OR CUTTING INSTRUMENT,19X,1541 E 12TH ST,Oakland,CA,POINT (-122.246714021 37.787978015)
,07/22/2024 10:30:00 PM,24-036629,BURGLARY-AUTO,19X,1100 EMBARCADERO,Oakland,CA,POINT (-122.25269151 37.788630593)
ROBBERY,06/14/2024 11:10:00 AM,24-031936,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1000 2ND AV,Oakland,CA,POINT (-122.25906372 37.795947331)
DISORDERLY CONDUCT,06/02/2024 12:17:00 AM,24-027216,DISTURB THE PEACE,27Y,5729 BANCROFT AV,Oakland,CA,POINT (-122.193827984 37.771025993)
ROBBERY,06/29/2024 02:00:00 AM,24-032295,CARJACKING WITH FIREARM,19X,15TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.245237968 37.788969007)
,07/25/2024 07:39:00 PM,24-037110,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT:W/SPEC PRIOR,03Y,5120 SHAFTER AVE.,Oakland,CA,POINT (-122.257425004 37.836931012)
BURG - AUTO,05/28/2024 08:30:00 PM,24-908646,BURGLARY-AUTO,01X,461 2ND ST,Oakland,CA,POINT (-122.276790972 37.796033988)
,07/22/2024 04:30:00 PM,24-036812,VEHICLE THEFT - AUTO,19X,255 8TH AV,Oakland,CA,POINT (-122.256734 37.788741019)
,07/10/2024 08:00:00 PM,24-034497,VEHICLE THEFT - AUTO,18Y,1933  E 26TH ST,Oakland,CA,POINT (-122.232261665 37.794935416)
,07/08/2024 08:00:00 AM,24-910421,THEFT,07X,3247 LOUISE ST,Oakland,CA,POINT (-122.285143036 37.82479301)
FELONY ASSAULT,07/20/2024 05:30:00 PM,24-036182,TRESPASS:OCCUPY PROPERTY W/O CONSENT,19X,506 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.253207984 37.795752984)
FELONY ASSAULT,07/05/2024 11:30:00 AM,24-033420,ASSAULT WITH FIREARM ON PERSON,35X,2445 90TH AV,Oakland,CA,POINT (-122.162176996 37.755559998)
RECOVERED VEHICLE - OAKLAND STOLEN,05/29/2024 06:48:00 PM,24-026666,POSS STOLEN VEH/VES/ETC,21Y,2700 SCHOOL ST,Oakland,CA,POINT (-122.217667012 37.795839234)
